Variation #,Input
0,"Tensor<[1, 32, 6144]> input = ?"
1,"Tensor<[1, 15, 1024]> input = ?"
2,"Tensor<[1, 1, 1024]> input = ?"
3,"Tensor<[1, 7, 3072]> input = ?"
4,"Tensor<[1, 45, 3072]> input = ?"
5,"Tensor<[1, 1, 3072]> input = ?"
6,"Tensor<[1, 768]> input = ?"
7,"Tensor<[1, 12, 3072]> input = ?"
8,"Tensor<[1, 9, 4096]> input = ?"
9,"Tensor<[1, 9, 128]> input = ?"
10,"Tensor<[1, 9, 8192]> input = ?"
11,"Tensor<[1, 9, 16384]> input = ?"
12,"Tensor<[1, 5, 4096]> input = ?"
13,"Tensor<[1, 1, 4096]> input = ?"
14,"Tensor<[1, 256, 96]> input = ?"
15,"Tensor<[1, 1, 24576]> input = ?"
16,"Tensor<[1, 9, 3072]> input = ?"
17,"Tensor<[1, 14, 3072]> input = ?"
